category,text
climate,"Risk of lethal heat waves. Also, the global future of battery technology, star orbiting a black hole obeys Einstein’s laws and identifying dead bodies in South Africa."
climate,Parts of the south-western US are in the grip of an intense heat wave with temperatures approaching some of the highest ever recorded on Earth.
climate,The daily number of people dying in Moscow has doubled as a heat wave combines with the smoke and dust from forest fires surrounding the city.
climate,"The massive heatwave sweeping India is starting to ease, with forecasts of rain in some affected states."
climate,Northern and central India are in the grip of a scorching heat wave with temperatures running above 45C (113F) in many places. A schoolgirl near the northern city of Jammu walks under an umbrella to protect herself from the bright sun.
climate,"Communities opposed to wind turbines in their local area do not have an ""acceptable moral position"" according to a climate change expert.Dozens of large-scale wind farm applications are being considered as Wales tries to reach net zero.Campaigners say the ambition is putting the Welsh countryside at risk and south Wales already has several wind farms."
climate,"Lord Deben, the UK Climate Change Committee chairman, said the onus was on everyone to help reach the target.""We can't all the time say we're in favour of things but somewhere else,"" he said.""That isn't an acceptable moral position.""Across Wales communities are mobilising to object to wind farm and pylon developments in their areas."
climate,"Climate anxiety among young people has been linked to a lack of access green space, a conservation charity says.In a poll commissioned by the Woodland Trust, seven out of 10 young people said they were worried about the the environment.The YouGov poll also found 86% of those surveyed felt being around nature had a positive effect on their mental health.The trust, which runs a 400-acre Young People's Forest at Mead in Derbyshire, said the results were alarming.The trust's chief executive Dr Darren Moorcroft said access to woodland was declining and tree cover in the UK was one of the lowest in Europe.UN chief Antonio Guterres says a major new report on climate change is a ""survival guide for humanity"".Clean energy and technology can be exploited to avoid the growing climate disaster, the report says.But at a meeting in Switzerland to agree their findings, climate scientists warned a key global temperature goal will likely be missed.Their report lays out how rapid cuts to fossil fuels can avert the worst effects of climate change."
climate,"In response to the findings, UN secretary general Antonio Guterres says that all countries should bring forward their net zero plans by a decade. These targets are supposed to rapidly cut the greenhouse gas emissions that warm our planet's atmosphere.""There is a rapidly closing window of opportunity to secure a liveable and sustainable future for all,"" the report states.Governments had previously agreed to act to avoid global temperature rise going above 1.5C. But the world has already warmed by 1.1C and now experts say that it is likely to breach 1.5C in the 2030s.The UK government responded that the report makes it clear that countries must ""work towards far more ambitious climate commitments"" ahead of the UN climate summit COP28 in November.The Arctic is also warming more than four times faster than the global average in recent decades. In June 2020, average temperatures in Siberia were up to 10°C above normal, reaching a new record of 38°C in the Arctic circle. This triggered devastating wildfires and sea ice loss.The World Weather Attribution network (WWA), a collaboration between international climate scientist, concluded this was ""almost impossible"" without climate change."
climate,"Climate is the average weather in a place over many years. Climate change is a shift in those average conditions.The rapid climate change we are now seeing is caused by humans using oil, gas and coal for their homes, factories and transport.When these fossil fuels burn, they release greenhouse gases - mostly carbon dioxide (CO2). These gases trap the Sun's heat and cause the planet's temperature to rise.The world is now about 1.1C warmer than it was in the 19th Century - and the amount of CO2 in the atmosphere has risen by 50%."
climate,"Temperature rises must slow down if we want to avoid the worst consequences of climate change, according to climate scientists. They say global warming needs to be kept to 1.5C by 2100.However, unless further action is taken, the planet could still warm by more than 2C by then. A 2021 report by the independent Climate Action Tracker group calculated that the world was heading for 2.4C of warming by the end of the century.If nothing is done, scientists think global warming could exceed 4C in the future, leading to devastating heatwaves, millions losing their homes to rising sea levels, and the irreversible loss of plant and animal species."
climate,"With further warming, some regions could become uninhabitable, as farmland turns into desert. East Africa just saw its fifth season of failed rains, which the UN's World Food Programme says has put up to 22 million people at risk of severe hunger.Extreme temperatures can also increase the risk of wildfires - as seen in Europe last summer. France and Germany recorded about seven times more land burnt between January and the middle of July 2022, compared with the average.Hotter temperatures also mean that previously frozen ground will melt in places like Siberia, releasing greenhouse gases trapped for centuries into the atmosphere, further worsening climate change."
climate,"Swansea Council will build the so-called ""green screens"" at Morriston and Oystermouth primary schools.Air quality was monitored outside the schools and, while neither breached specified thresholds, they are both next to major roads."
climate,"Climate change: World's top court to weigh in. The world's top court will for the first time advise on countries' legal obligations to fight climate change, following a UN resolution on Wednesday. The International Court of Justice will now prepare an advisory opinion that could be cited in climate court cases.
The motion came from Vanuatu, a low-lying Pacific island nation facing peril from rising sea levels.
Vanuatu's Prime Minister Ishmael Kalsakau called it ""a win for climate justice of epic proportions""."
sport,tigers wary of farrell  gamble  leicester say they will not be rushed into making a bid for andy farrell should the great britain rugby league captain decide to switch codes.   we and anybody else involved in the process are still some way away from going to the next stage   tigers boss john wells told bbc radio leicester.  at the moment  there are still a lot of unknowns about andy farrell  not least his medical situation.  whoever does take him on is going to take a big  big gamble.  farrell  who has had persistent knee problems  had an operation on his knee five weeks ago and is expected to be out for another three months. leicester and saracens are believed to head the list of rugby union clubs interested in signing farrell if he decides to move to the 15-man game.  if he does move across to union  wells believes he would better off playing in the backs  at least initially.  i m sure he could make the step between league and union by being involved in the centre   said wells.  i think england would prefer him to progress to a position in the back row where they can make use of some of his rugby league skills within the forwards.  the jury is out on whether he can cross that divide.  at this club  the balance will have to be struck between the cost of that gamble and the option of bringing in a ready-made replacement.
sport,yeading face newcastle in fa cup premiership side newcastle united face a trip to ryman premier league leaders yeading in the fa cup third round.  the game - arguably the highlight of the draw - is a potential money-spinner for non-league yeading  who beat slough in the second round. conference side exeter city  who knocked out doncaster on saturday  will travel to old trafford to meet holders manchester united in january. arsenal were drawn at home to stoke and chelsea will play host to scunthorpe. the only other non-league side in the draw are hinckley united  who held brentford to a goalless draw on sunday. they will meet league one leaders luton if they win their replay against martin allen s team at griffin park.  a number of premiership teams face difficult away games against championship sides on the weekend of 8/9 january. third-placed everton visit plymouth  liverpool travel to burnley  crystal palace go to sunderland  fulham face carling cup semi-finalists watford  bolton meet ipswich  while aston villa were drawn against sheffield united. premiership strugglers norwich  blackburn  west brom are away at west ham  cardiff and preston north end respectively. southampton visit northampton  having already beaten the league two side in the carling cup earlier this season. middlesbrough were drawn away against either swindon or notts county  while spurs entertain brighton at white hart lane.  arsenal v stoke  swindon/notts co v middlesbrough  man utd v exeter  plymouth v everton  leicester v blackpool  derby v wigan  sunderland v crystal palace  wolves v millwall  yeading v newcastle  hull v colchester  tottenham v brighton  reading v stockport/swansea  birmingham v leeds  hartlepool v boston  milton keynes dons v peterborough  oldham v man city  chelsea v scunthorpe  cardiff v blackburn  charlton v rochdale  west ham v norwich  sheff utd v aston villa  preston v west brom  rotherham v yeovil  burnley v liverpool  bournemouth v chester  coventry v crewe  watford v fulham  ipswich v bolton  portsmouth v gillingham  northampton v southampton  qpr v nottm forest  luton v hinckley/brentford  matches to be played on weekend of 8/9 january.
sport,henman hopes ended in dubai third seed tim henman slumped to a straight sets defeat in his rain-interrupted dubai open quarter-final against ivan ljubicic.  the croatian eighth seed booked his place in the last four with a 7-5 6-4 victory over the british number one. henman had looked on course to level the match after going 2-0 up in the second set  but his progress was halted as the rain intervened again. ljubicic hit back after the break to seal a fourth straight win over henman. earlier in the day  spanish fifth seed tommy robredo secured his semi-final place when he beat nicolas kiefer of germany 6-4 6-4. afterwards  henman was left cursing the weather and the umpire after seven breaks for rain during the match.  it was incredibly frustrating   henman said.  it s raining and the umpire doesn t take control.  he kept telling us to play till the end of the game. but if it s raining  you come off - the score s irrelevant.  it couldn t be more frustrating as i was very happy with my form until now. you don t expect this in the desert.
sport,wilkinson fit to face edinburgh england captain jonny wilkinson will make his long-awaited return from injury against edinburgh on saturday.  wilkinson  who has not played since injuring his bicep on 17 october  took part in full-contact training with newcastle falcons on wednesday. and the 25-year-old fly-half will start saturday s heineken cup match at murrayfield on the bench. but newcastle director of rugby rob andrew said:  he s fine and we hope to get him into the game at some stage.  the 25-year-old missed england s autumn internationals after aggravating the haematoma in his upper right arm against saracens. he was subsequently replaced as england captain by full-back jason robinson. sale s charlie hodgson took over the number 10 shirt in the internationals against canada  south africa and australia. wilkinson s year has been disrupted by injury as his muscle problem followed eight months on the sidelines with a shoulder injury sustained in the world cup final.
sport,moya emotional after davis cup win carlos moya described spain s davis cup victory as the highlight of his career after he beat andy roddick to end the usa s challenge in seville.  moya made up for missing spain s 2000 victory through injury by beating roddick 6-2 7-6 (7-1) 7-6 (7-5) to give the hosts an unassailable 3-1 lead.  i have woken up so many nights dreaming of this day   said moya.  all my energy has been focused on today.  what i have lived today i do not think i will live again.  spain s only other davis cup title came two years ago in valencia  when they beat australia. and moya  nicknamed charly  admitted:  the davis cup is my dream and i was a bit nervous at the outset.  some people have said that i am obsessed but i think that it is better this way. it helps me reach my goals if i am obsessed.  it s really incredible - to get the winning point is really something.  spanish captain jordi arrese said:  charly played a great game. it was his opportunity and he hasn t let us down.  he had lost three times to roddick  and this was his day to beat him.  he had been waiting years to be in this position.  spain s victory was also remarkable for the performance of rafael nadal  who beat roddick in the opening singles.  aged 18 years and 185 days  the mallorcan became the youngest player to win the davis cup.  what a great way to finish the year   said nadal afterwards. us coach patrick mcenroe wants roddick and the rest of his team to play more tennis on clay and hone their skills on the surface.  i think it will help these guys even on slow hard courts to learn how to mix things up a little bit and to play a little bit smarter and tactically better.   obviously it s unrealistic to say that we re going to just start playing constantly on clay  with the schedule.  but certainly i think we can put the work in at the appropriate time and play a couple more events and play against these guys who are the best on this stuff   said mcenroe. roddick was left frustrated after losing both his singles on the slow clay of seville s olympic stadium.  it s just tough because i felt like i was in it the whole time against one of the top three clay-courters in the world   said the american.  i had my chances and just didn t convert them. the bottom line is they were just better than us this weekend.  they came out  took care of business and they beat us. it s as simple as that.
sport,connors boost for british tennis former world number one jimmy connors is planning a long-term relationship with the lawn tennis association to help unearth the next tim henman.  the american spent three days at the lta s annual elite performance winter camp in la manga earlier this week.  britain has the right attitude   said connors.  the more involved i can be with the lta  the better.  a short-term arrangement is just confusing. the kids will ask:  what am i doing there    lta chief executive  john crowther  added:  the relationship that jimmy s already started to develop with the coaches and the players has said to us that we d like some more of it.  we want to use jimmy for a number of weeks a year and we hope this is the beginning of a good long-term relationship.   the camp played host to more than 30 leading senior and junior players  including greg rusedski  arvind parmar and anne keothavong.  la manga is an amazing site to take a bunch of kids who want to be the best   said connors  speaking at queen s club in london.  what impressed me most was not only the coaches but the way the kids went about their workouts and the feeling they put into every practice they had.  it was interesting to me to see kids of 15  16  17  with that desire and passion  and that can only be brought about by the coaches surrounding them.  instilling the importance of work and practice is something you can t buy.  they know what s been given to them and all they have to do is give back the effort  and every minute of practice they were doing that.   speaking from la manga  lta performance director david felgate told bbc sport:  jimmy was fantastic with the players and the coaches  and very humble considering what he s achieved.  he worked through the coaches and hopefully it will grow and he ll get to have more of an individual relationship with some of the players and get to know them.  he made it clear from the word go he didn t want it to be short-term. this is a 52-week-a-year job for me  it s my life and my passion and it s the same with the coaches.  he respects that but he wants to be involved and have real input. and why would he stake his reputation on something that s not going to be successful   connors has also agreed to commentate for the bbc at next year s wimbledon championships. he will work during the second week of the tournament.
sport,bates seals takeover ken bates has completed his takeover of leeds united.  the 73-year-old former chelsea chairman sealed the deal at 0227 gmt on friday  and has bought a 50% stake in the club. he said:  i m delighted to be stepping up to the mantel at such a fantastic club. i recognise leeds as a great club that has fallen on hard times.  we have a lot of hard work ahead to get the club back where it belongs in the premiership  and with the help of our fans we will do everything we can.  bates bought his stake under the guise of a geneva-based company known as the forward sports fund. he revealed that part of his plan is to buy back leeds  elland road stadium and thorp arch training ground in due course.   it s going to be a tough jon and the first task is to stabilise the cash flow and sort out the remaining creditors   bates added.  but there is light at the end of a very long tunnel. for the past year it has been a matter of firefighting - now we can start running the club again.  outgoing leeds chairman gerald krasner said:  this deal ensures the medium to long term survival of the club and i believe mr bates  proposals are totally for the benefit of the club.  we are content that under mr bates  leeds united will continue to consolidate and move forward.  when we took over leeds united in march 2004  the club had a debt of £103m  since that date  my board has succeeded in reducing the debt to under £25m.  we worked tirelessly to solve all of the problems at leeds united.  eighty percent of the problems have already been overcome and we came to this agreement with mr bates to secure its ongoing success.  krasner revealed that his consortium has been asked to remain in the background at the club for an undisclosed period to help ensure a smooth hand-over. he will stay on in an unpaid capacity while peter lorimer will continue in his role as director and point of contact for the fans and peter mccormick will serve as a consultant to the incoming board. the other outgoing directors have agreed to leave their loans of £4.5m in the company for the next four years. on leeds  new-look board it is understood that lorimer will be joined by former chelsea finance director yvonne todd and bates  lawyer mark taylor.  krasner refused to give any details of the finances involved in the takeover. he told bbc five live:  i am not going into the figures. if ken wants to give them up that is up to him. i can not tell you what the money will be used for.  this dea l is not about money for the current board. in the last four months i never saw any cheques until this week from one person. i am not stretching figures  we don t discuss internal arrangements.  bates stepped down as chelsea chairman in march last year following roman abramovich s £140m takeover at stamford bridge. in may  he made a proposal to invest £10m in sheffield wednesday  but this was rejected by the club. sebastien sainsbury had been close to a takeover of leeds but withdrew his £25m offer last week.  his efforts failed after he revealed it would take £40m to stage a takeover  and that the club will also lose £10m over the next six months. the club was on the brink of administration - and the deduction of 10 points by the football league - before bates  arrival but his investment has spared them that prospect.
sport,cole faces lengthy injury lay-off aston villa s carlton cole could be out for six weeks with a knee injury.  the striker  who is on a season-long loan from chelsea  picked up the knock in an england under-21 match against holland earlier this month.  carlton will be out of action for four to six weeks after a bad challenge   said villa boss david o leary.  i won t be able to tell you whether he will need an operation until maybe next week. whether he has an operation has got to be left to chelsea.  cole  who also struggled with an ankle problem earlier in the season  was unable to rest because o leary had a shortage of strikers. the return to fitness of darius vassell after four months out with a broken ankle and the emergence of luke moore has alleviated some of the villa s manager s problems in that department.
sport,moya fights back for indian title carlos moya became the first man to successfully defend the chennai open title by beating four-times finalist paradorn srichaphan 3-6 6-4 7-6 (7/5).  the spaniard then donated his £28 000 prize money to relief efforts for the victims of the asian tsunami. the final was close throughout  with thai second seed srichaphan - the 2003 winner - closing out the first set. but moya took the second set  before bouncing back from 5-2 down in the decider to force and win a tie-break. moya confirmed afterwards:  i m donating my prize money from this tournament for the tsunami victims  hoping it makes some difference to their lives. his contribution follows pledges by four other players to donate their prize money from the tournament  which went ahead after the 26 december disaster which has so far claimed at least 150 000 lives. scrichapan said he would donate an unspecified amount for relief work in thailand  where more than 5 000 people were killed. the atp has announced that it would contribute the us$25 000 tournament fee to unicef s emergency relief fund in tamil nadu. the atp tour s sponsor  mercedes  said it would also contribute  increasing the atp donation to us$40 000.
sport,federer claims dubai crown world number one roger federer added the dubai championship trophy to his long list of successes - but not before he was given a test by ivan ljubicic.  top seed federer looked to be on course for a easy victory when he thumped the eighth seed 6-1 in the first set. but ljubicic  who beat tim henman in the last eight  dug deep to secure the second set after a tense tiebreak. swiss star federer was not about to lose his cool  though  turning on the style to win the deciding set 6-3. the match was a re-run of last week s final at the world indoor tournament in rotterdam  where federer triumphed  but not until ljubicic had stretched him for five sets.  i really wanted to get off to a good start this time  and i did  and i could really play with confidence while he still looking for his rhythm   federer said.   that took me all the way through to 6-1 3-1 0-30 on his serve and i almost ran away with it. but he came back  and that was a good effort on his side.  ljubicic was at a loss to explain his poor showing in the first set.  i didn t start badly  but then suddenly i felt like my racket was loose and the balls were flying a little bit too much. and with roger  if you relax for a second it just goes very quick   he said.  after those first three games it was no match at all. i don t know  it was really weird. i was playing really well the whole year  and then suddenly i found myself in trouble just to put the ball in the court.  but despite his defeat  the world number 14 was pleased with his overall performance.  i had a chance in the third  and for me it s really positive to twice in two weeks have a chance against roger to win the match.  it s an absolutely great boost to my confidence that i m up there and belong with top-class players.
sport,disappointed scott in solid start allan scott is confident of winning a medal at next week s european indoor championships after a solid debut on the international circuit.  the 22-year-old scot finished fourth in the 60m hurdles at the jose m cagigal memorial meeting in madrid.  it was definitely a learning curve and i certainly haven t ruled out challenging for a medal next week   said the east kilbride athlete. the race was won by felipe vivancos  who equalled the spanish record.  sweden s robert kronberg was second  with haiti s dudley dorival in third. scott was slightly disappointed with his run in the final. he won his heat in 7.64secs but ran 0.04secs slower in his first iaaf indoor grand prix circuit final.  i should have done better than that   he said.  i felt i could have won it. i got a poor start - but i still felt i should have ran faster.  vivancos slashed his personal best to equal the spanish record with a time of 7.60secs while kronberg and dorival clocked 7.62secs and 7.63secs respectively.
sport,lewsey puzzle over disallowed try england s josh lewsey has claimed he was denied a late try in his side s six nations loss to ireland.  the wasps wing insisted he grounded the ball when he was bundled over the line and said referee jonathan kaplan had made a wrong decision.  i m positive i touched the ball down over the line   lewsey told bbc sport.  it certainly wasn t a turnover.  i was driven over and i put the ball on the ground. the whistle went and i let go of the ball.  lewsey added:  one of the irish players scooped it back after the whistle and to our surprise the referee then gave a turnover.  as far as i m concerned  that incident and mark cueto s effort from charlie hodgson s cross-field kick that led to what looked like a good try were the two key elements in the game.   cueto was also puzzled as to why his try had been disallowed by kaplan.  i don t think i could have been offside for  without a doubt  i was behind the ball   said the sale player.  the move was a planned technique  it was not off the cuff. we rehearse it time and time again.  i wouldn t say we were robbed  some decisions go with you and some go against you. today they went against us and that s tough at international level.
sport,rovers reject third ferguson bid blackburn have rejected a third bid from rangers for scotland captain barry ferguson  bbc sport has learnt.  it is thought blackburn want £6m for the midfielder but chief executive john williams has confirmed the club are still  in dialogue  with rangers. the 26-year-old has already handed in a transfer request at ewood park as he seeks a return to ibrox. but the clubs have been unable to reach agreement over a fee for ferguson  who moved to lancashire in 2003 for £6.5m. on thursday rangers said they would not be increasing their offer of £4m.  blackburn have said all along that they want £6m for the midfielder and williams has rejected proposals from rangers over a player-swap deal. williams said:  we are in dialogue with glasgow rangers but we have no agreement.  the negotiations will have to be concluded by midnight on monday  when the winter transfer window shuts. williams conceded any deal for ferguson was looking  unlikely  before the close of the transfer window but rangers still had a chance to seal the deal.  we have no comment to make other than we have not got an agreement with glasgow rangers   he added.  the way things are looking  i think it is unlikely we are going to.  the ball is in their court but we have not got an offer that is acceptable at this moment.  it is understood that blackburn accepted a £5m offer for ferguson from everton at the weekend. but the player is determined to return to scotland and rejected a move to goodison park. ferguson did not play in the fa cup win over colchester on saturday despite recovering from a groin injury with rovers boss mark hughes claiming it had been an  emotional and difficult time  for the player.
sport,henson stakes early lions claim the six nations may be a glittering prize in itself but every player from the four home unions will also have one eye on a possible trip to new zealand with the lions this summer.  the player who staked the biggest claim for a place in the starting xv over the weekend was gavin henson. he s very confident. you just had to listen to his interview afterwards - he beamed with confidence - but although there s an element of arrogance it s good arrogance. he certainly showed some nice touches. he once showed a clean pair of heels to mathew tait when he got outside him  his defence was very good and he made some great kicks out of hand. and that s without even mentioning his majestic match-winning penalty. but i think we need to wait and see what happens because he needs to be put to the test. he needs to come up against brian o driscoll or a big french midfield. wales fly-half stephen jones was another player who impressed me. he gave good direction  he was very confident and he was a nice general for his side. he showed he can control a game. with jonny wilkinson not playing at the moment due to inury the number 10 shirt could be up for grabs and jones  or maybe even henson  could make the lions team at fly-half.  jones stuck his hand up and he certainly looks a better bet than charlie hodgson after saturday s game. some of the wales forwards surprised me because i thought they would be out-muscled in the tight five. england prop julian white is a capable player but when it comes down to selection gethin jenkins is now going to have the upper hand because he came out on top. however  i still think white and phil vickery will be in the frame. some english players did their cause no harm. i thought joe worsley had a solid game and jason robinson and josh lewsey both did nothing wrong. but it looked too soon for young mathew tait and i think it will be a while before we see him again. despite being written off beforehand several scots caught my eye against france.  tom smith has been there and done it before  but the likes of chris cusiter  jason white and ally hogg all made their mark. hogg made a couple of good runs while white had a pretty robust game - his defence is right up there. cusiter looked very lively and he could be a very good option for lions coach sir clive woodward. the star of ireland s win over italy in rome looks like a certainty to make the starting xv against new zealand. brian o driscoll is a class act. he ran some good lines against italy  made the breaks and fed his outside backs  although italy defended man on man which made it easy for him. gordon d arcy was unlucky to go off injured early on but i think you could get a henson  d arcy  o driscoll combination in the lions midfield. paul o connell just needs to add a hard edge to his game and malcolm o kelly keeps on going and seems to be putting his hand up  while shane byrne seems to be a lively character. but they will be a bit worried after the italian pack drove them off their own ball on sunday  although i used to play in italy and i know how difficult it can be. one player who didn t impress me was wales scrum-half dwayne peel. he choked late on in the second half when wales were trailing. they had good possession and he kicked the ball away - i wouldn t want him as my lions scrum-half after that.
sport,scotland v italy (sat) murrayfield  edinburgh  saturday  26 february  1400 gmt  bbc1  five live and this website  victory for the azzurri in rome last year saw scotland end their campaign without a victory. and the pressure is on scotland coach matt williams as he seeks a first six nations victory at the eighth attempt. italy have lost both their opening games at home to ireland and wales  but travel to edinburgh with high hopes.  their coach john kirwan has warned his side they must eradicate the errors that blighted their loss to wales however or risk suffering a third successive defeat.  if the defeat against wales has taught us anything  it s that at this level we can t make any mistakes   kirwan said.  in the six nations  every error you make will come at a high price.  we have to be aggressive for 80 minutes  keep calm in every situation and display great maturity on the pitch.   it will be fundamental to keep cool in the difficult moments - in the key situations of the game.  kirwan has recalled the experienced cristian stoica at centre and drafted in david dal maso at open-side after star flanker mauro bergamasco was ruled out for the rest of the tournament. scotland have also made two changes  simon webster replacing simon danielli on the wing and simon taylor returning for his first test in a year  for injured flanker jason white. taylor s recovery from a serious knee injury is a major boost to scottish hopes.  he is one of the world-class players in the tournament and you want them in your team   acknowledged williams.  despite a record of only two victories from 14 tests  williams insists he is revelling in the pressure.  i actually really enjoy seeing how you cope with such pressure as a coach   he said  optimistic despite opening defeats to france and ireland.  we were confident for those two first games and we are confident we can beat italy too   he added.  : c paterson; s webster  a craig  h southwell  s lamont; d parks  c cusiter; t smith  g bulloch (capt)  g kerr; s grimes  s murray; s taylor  j petrie  a hogg.  r russell  b douglas  n hines  j dunbar  m blair  g ross  b hinshelwood.  r de marigny; mirco bergamasco  c stoica  a masi  l nitoglia; l orquera  a troncon; a lo cicero  f ongaro  m castrogiovanni; s dellape  m bortolami (capt); a persico  d dal maso  s parisse.  g intoppa  s perugini  ca del fava  s orlando  p griffen  r pedrazzi  kp robertson.
sport,robinson wants dual code success england rugby union captain jason robinson has targeted dual code success over australia on saturday.  robinson  a former rugby league international before switching codes in 2000  leads england against australia at twickenham at 1430 gmt. and at 1815 gmt  great britain s rugby league team take on australia in the final of the tri-nations tournament.  beating the aussies in both games would be a massive achievement  especially for league   said robinson. england have the chance to seal their third autumn international victory after successive wins over canada and south africa  as well as gaining revenge for june s 51-15 hammering by the wallabies. meanwhile  great britain could end 34 years of failure against australia with victory at elland road. britain have won individual test matches  but have failed to secure any silverware or win the ashes (with a series victory) since 1970.   they have a great opportunity to land a trophy and it would be a massive boost for rugby league in this country if we won   said robinson.  i know the boys can do it - they ve defeated the aussies once already in the tri-nations.  but robinson was not losing sight of the task facing his england side in their final autumn international.  for us  we ve played two and won two this november   he said.  if we beat australia it would be the end to a great autumn series for england. if we stumble then we ll be looking back with a few regrets. robinson also revealed that the union side had sent the great britain team a good luck message ahead of the showdown in leeds.  we signed a card for them today and will write them an email on saturday wishing them all the best   said robinson.  everyone has signed the card - a lot of the guys watch league and we support them fully.  both games will be very tough and hopefully we ll both do well.
sport,hingis to make unexpected return martina hingis makes her return to competitve tennis after two years out of the game at the volvo women s open in pattaya  thailand  on tuesday.  she faces german marlene weingartner in the first round.  as a competitor and athlete  i always want to win. i hope my body will hold up   said hingis.  you miss being out there in a grand slam final and not competing. it s a big difference between playing and commenting for tv. i miss it a lot.  the former world number one was 22 when she retired after having surgery on both ankles  and her last wta event was in filderstadt  germany  in october 2002  when she lost to elena dementieva. only last year she insisted that a comeback was unlikely  but speaking in thaliand hingis admitted:  i said that because i didn t know what would happen with my body.  her appearance will also benefit charities in the region and the swiss star will donate her prize money.
sport,funding cut hits wales students the wales students rugby side has become a casualty of the welsh rugby union s reorganisation at youth level.  an amalgamated under-18 side formed from separate schools and national youth teams plays its first match on thursday  against italy at the gnoll. but that move has seen the wru decide to end its funding of representative sides such as wales students. as a result  traditional international fixtures against england and france in the new year have been cancelled. the welsh students rugby football union feels that it is unable to properly prepare for or stage the matches. the secretary of the welsh students rugby football union  reverend eldon phillips  said:  it is a shame that fixtures cannot be maintained this year.  the competition provided by the strong english and french teams has enabled the welsh students to test themselves in high quality matches.  the increasing number of young rugby players entering higher education look for the biggest challenge  that is representative rugby  but this year that opportunity will be denied them. players who have played for wales students before going on to win full senior representative honours include robert jones  rob howley  jon humphreys  darren morris  martyn williams and ceri sweeney.
